,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps
Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2019-09-08,1,1,23.093,CAR,,LAR,L 27-30,*,19,128,6.74,2,11,10,81,8.10,0,90.9%,7.36,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,66,100%,0,0%,0,0%
2,2019-09-12,2,2,23.097,CAR,,TAM,L 14-20,*,16,37,2.31,0,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%
3,2019-09-22,3,3,23.107,CAR,@,ARI,W 38-20,*,24,153,6.38,1,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,56,93%,0,0%,0,0%
4,2019-09-29,4,4,23.114,CAR,@,HOU,W 16-10,*,27,93,3.44,1,10,10,86,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,67,100%,0,0%,0,0%
5,2019-10-06,5,5,23.121,CAR,,JAX,W 34-27,*,19,176,9.26,2,8,6,61,10.17,1,75.0%,7.63,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,3,18,0,0,0,0,0,0,54,86%,0,0%,0,0%
6,2019-10-13,6,6,23.128,CAR,@,TAM,W 37-26,*,22,31,1.41,1,5,4,26,6.50,1,80.0%,5.20,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,64,94%,0,0%,0,0%
7,2019-10-27,7,8,23.142,CAR,@,SFO,L 13-51,*,14,117,8.36,1,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,,,1,1,8,0,0,0,0,0,0,53,78%,0,0%,0,0%
8,2019-11-03,8,9,23.149,CAR,,TEN,W 30-20,*,24,146,6.08,2,3,3,20,6.67,1,100.0%,6.67,0,0,,0,0,0,,0,0,,,,3,18,0,0,0,0,0,0,61,86%,0,0%,0,0%
9,2019-11-10,9,10,23.156,CAR,@,GNB,L 16-24,*,20,108,5.40,1,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,,,,1,6,1,0,0,0,0,0,72,100%,0,0%,0,0%
10,2019-11-17,10,11,23.163,CAR,,ATL,L 3-29,*,14,70,5.00,0,15,11,121,11.00,0,73.3%,8.07,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,69,93%,0,0%,0,0%
11,2019-11-24,11,12,23.170,CAR,@,NOR,L 31-34,*,22,64,2.91,1,9,9,69,7.67,1,100.0%,7.67,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,74,100%,0,0%,0,0%
12,2019-12-01,12,13,23.177,CAR,,WAS,L 21-29,*,14,44,3.14,0,12,7,58,8.29,0,58.3%,4.83,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%
13,2019-12-08,13,14,23.184,CAR,@,ATL,L 20-40,*,11,53,4.82,0,12,11,82,7.45,0,91.7%,6.83,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%
14,2019-12-15,14,15,23.191,CAR,,SEA,L 24-30,*,19,87,4.58,2,10,8,88,11.00,0,80.0%,8.80,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,2,12,0,0,0,0,0,0,72,100%,0,0%,0,0%
15,2019-12-22,15,16,23.198,CAR,@,IND,L 6-38,*,13,54,4.15,0,15,15,119,7.93,0,100.0%,7.93,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,63,90%,0,0%,0,0%
16,2019-12-29,16,17,23.205,CAR,,NOR,L 10-42,*,9,26,2.89,1,10,7,72,10.29,0,70.0%,7.20,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,51,72%,0,0%,0,0%
,16 Games,,,,,,,5-11-0,,287,1387,4.83,15,142,116,1005,8.66,4,81.7%,7.08,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,19,116,1,0,0,0,0,0,,,,,,
